tile_id,x0,y0,x1,y1,lr_shape,sr_shape,gt_shape
tile_0180,-5707284.2,-3499727.82,-5706543.96,-3498987.58,64x64,310x310,1829x1829
tile_0181,-5706543.96,-3499727.82,-5705803.73,-3498987.58,64x64,310x310,1829x1829
tile_0182,-5705803.73,-3499727.82,-5705063.5,-3498987.58,64x64,310x310,1829x1829
tile_0183,-5705063.5,-3499727.82,-5704323.26,-3498987.58,64x64,310x310,1829x1829
tile_0184,-5721348.64,-3498987.58,-5720608.4,-3498247.35,64x64,310x310,1829x1829
tile_0185,-5720608.4,-3498987.58,-5719868.17,-3498247.35,64x64,310x310,1829x1829
tile_0186,-5719868.17,-3498987.58,-5719127.94,-3498247.35,64x64,310x310,1829x1829
tile_0187,-5719127.94,-3498987.58,-5718387.7,-3498247.35,64x64,310x310,1829x1829
tile_0188,-5718387.7,-3498987.58,-5717647.47,-3498247.35,64x64,310x310,1829x1829
tile_0189,-5717647.47,-3498987.58,-5716907.24,-3498247.35,64x64,310x310,1829x1829
tile_0190,-5716907.24,-3498987.58,-5716167.0,-3498247.35,64x64,310x310,1829x1829
tile_0191,-5716167.0,-3498987.58,-5715426.77,-3498247.35,64x64,310x310,1829x1829
tile_0192,-5715426.77,-3498987.58,-5714686.53,-3498247.35,64x64,310x310,1829x1829
tile_0193,-5714686.53,-3498987.58,-5713946.3,-3498247.35,64x64,310x310,1829x1829
tile_0194,-5713946.3,-3498987.58,-5713206.07,-3498247.35,64x64,310x310,1829x1829
tile_0195,-5713206.07,-3498987.58,-5712465.83,-3498247.35,64x64,310x310,1829x1829
tile_0196,-5712465.83,-3498987.58,-5711725.6,-3498247.35,64x64,310x310,1829x1829
tile_0197,-5711725.6,-3498987.58,-5710985.37,-3498247.35,64x64,310x310,1829x1829
tile_0198,-5710985.37,-3498987.58,-5710245.13,-3498247.35,64x64,310x310,1829x1829
tile_0199,-5710245.13,-3498987.58,-5709504.9,-3498247.35,64x64,310x310,1829x1829
tile_0200,-5709504.9,-3498987.58,-5708764.66,-3498247.35,64x64,310x310,1829x1829
tile_0201,-5708764.66,-3498987.58,-5708024.43,-3498247.35,64x64,310x310,1829x1829
tile_0202,-5708024.43,-3498987.58,-5707284.2,-3498247.35,64x64,310x310,1829x1829
tile_0203,-5707284.2,-3498987.58,-5706543.96,-3498247.35,64x64,310x310,1829x1829
tile_0204,-5706543.96,-3498987.58,-5705803.73,-3498247.35,64x64,310x310,1829x1829
tile_0205,-5705803.73,-3498987.58,-5705063.5,-3498247.35,64x64,310x310,1829x1829
tile_0206,-5705063.5,-3498987.58,-5704323.26,-3498247.35,64x64,310x310,1829x1829
tile_0207,-5721348.64,-3498247.35,-5720608.4,-3497507.12,64x64,310x310,1829x1829
tile_0208,-5720608.4,-3498247.35,-5719868.17,-3497507.12,64x64,310x310,1829x1829
tile_0209,-5719868.17,-3498247.35,-5719127.94,-3497507.12,64x64,310x310,1829x1829
tile_0210,-5719127.94,-3498247.35,-5718387.7,-3497507.12,64x64,310x310,1829x1829
tile_0211,-5718387.7,-3498247.35,-5717647.47,-3497507.12,64x64,310x310,1829x1829
tile_0212,-5717647.47,-3498247.35,-5716907.24,-3497507.12,64x64,310x310,1829x1829
tile_0213,-5716907.24,-3498247.35,-5716167.0,-3497507.12,64x64,310x310,1829x1829
tile_0214,-5716167.0,-3498247.35,-5715426.77,-3497507.12,64x64,310x310,1829x1829
tile_0215,-5715426.77,-3498247.35,-5714686.53,-3497507.12,64x64,310x310,1829x1829
tile_0216,-5714686.53,-3498247.35,-5713946.3,-3497507.12,64x64,310x310,1829x1829
tile_0217,-5713946.3,-3498247.35,-5713206.07,-3497507.12,64x64,310x310,1829x1829
tile_0218,-5713206.07,-3498247.35,-5712465.83,-3497507.12,64x64,310x310,1829x1829
tile_0219,-5712465.83,-3498247.35,-5711725.6,-3497507.12,64x64,310x310,1829x1829
tile_0220,-5711725.6,-3498247.35,-5710985.37,-3497507.12,64x64,310x310,1829x1829
tile_0221,-5710985.37,-3498247.35,-5710245.13,-3497507.12,64x64,310x310,1829x1829
tile_0222,-5710245.13,-3498247.35,-5709504.9,-3497507.12,64x64,310x310,1829x1829
tile_0223,-5709504.9,-3498247.35,-5708764.66,-3497507.12,64x64,310x310,1829x1829
tile_0224,-5708764.66,-3498247.35,-5708024.43,-3497507.12,64x64,310x310,1829x1829
tile_0225,-5708024.43,-3498247.35,-5707284.2,-3497507.12,64x64,310x310,1829x1829
tile_0226,-5707284.2,-3498247.35,-5706543.96,-3497507.12,64x64,310x310,1829x1829
tile_0227,-5706543.96,-3498247.35,-5705803.73,-3497507.12,64x64,310x310,1829x1829
tile_0228,-5705803.73,-3498247.35,-5705063.5,-3497507.12,64x64,310x310,1829x1829
tile_0229,-5705063.5,-3498247.35,-5704323.26,-3497507.12,64x64,310x310,1829x1829
tile_0230,-5721348.64,-3497507.12,-5720608.4,-3496766.88,64x64,310x310,1829x1829
tile_0231,-5720608.4,-3497507.12,-5719868.17,-3496766.88,64x64,310x310,1829x1829
tile_0232,-5719868.17,-3497507.12,-5719127.94,-3496766.88,64x64,310x310,1829x1829
tile_0233,-5719127.94,-3497507.12,-5718387.7,-3496766.88,64x64,310x310,1829x1829
tile_0234,-5718387.7,-3497507.12,-5717647.47,-3496766.88,64x64,310x310,1829x1829
tile_0235,-5717647.47,-3497507.12,-5716907.24,-3496766.88,64x64,310x310,1829x1829
tile_0236,-5716907.24,-3497507.12,-5716167.0,-3496766.88,64x64,310x310,1829x1829
tile_0237,-5716167.0,-3497507.12,-5715426.77,-3496766.88,64x64,310x310,1829x1829
